attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,7.067658062102506,11.634965394687615,212.0,349.0,8.501192480359148,255.0,1.0,0.0,
2.0,12.235049569771792,19.369383651328096,367.0,581.0,17.002384960718295,510.0,1.0,0.0,
3.0,21.503016273849607,24.370085110362886,645.0,731.0,22.30312850729517,669.0,1.0,0.0,
4.0,25.603591470258134,28.20395622895623,768.0,846.0,26.27035166479611,788.0,1.0,0.0,
5.0,29.03740647212869,31.77112326973438,871.0,953.0,29.770842686120464,893.0,1.0,0.0,
6.0,35.00491021324355,37.53859895248784,1050.0,1126.0,35.70500841750842,1071.0,1.0,0.0,
7.0,38.77210531238309,43.40608866442199,1163.0,1302.0,39.805583613916944,1194.0,1.0,0.0,
8.0,44.33955293677516,47.27329779274224,1330.0,1418.0,45.07298915076693,1352.0,1.0,0.0,
9.0,50.00701459034792,53.20746352413019,1500.0,1596.0,50.77378881406659,1523.0,1.0,0.0,
10.0,54.94104002992892,58.20816498316498,1648.0,1746.0,55.74115226337449,1672.0,1.0,0.0,
11.0,59.60836139169472,62.942162364384586,1788.0,1888.0,60.70851571268238,1821.0,1.0,0.0,
12.0,64.60906285072952,68.10955387205387,1938.0,2043.0,65.60920314253647,1968.0,1.0,0.0,
13.0,70.30986251402918,73.87702955480734,2109.0,2216.0,71.41001683501683,2142.0,1.0,0.0,
14.0,75.44391601197157,78.97774504302282,2263.0,2369.0,76.51073232323232,2295.0,1.0,0.0,
15.0,79.577829218107,83.11165824915825,2387.0,2493.0,80.87801159745604,2426.0,1.0,0.0,
16.0,84.4451786382342,89.0791619902731,2533.0,2672.0,86.6121492704826,2598.0,1.0,0.0,
17.0,89.77926019453797,92.97970912832024,2693.0,2789.0,90.77940048634493,2723.0,1.0,0.0,
18.0,94.44658155630378,98.8805368499813,2833.0,2966.0,95.28003179947623,2858.0,1.0,0.0,
19.0,99.68064908342686,104.84804059109617,2990.0,3145.0,102.24767583239806,3067.0,1.0,0.0,
20.0,106.48160306771418,109.84874205013094,3194.0,3295.0,107.34839132061354,3220.0,1.0,0.0,
21.0,111.74900860456415,114.38271137298916,3352.0,3431.0,112.31575476992144,3369.0,1.0,0.0,
22.0,116.64969603441826,119.41675084175084,3499.0,3582.0,117.31645622895624,3519.0,1.0,0.0,
23.0,120.75027123082678,123.81736812570146,3622.0,3714.0,121.48370744481856,3644.0,1.0,0.0,
24.0,126.45107089412645,129.28480172091284,3793.0,3878.0,127.11783108866442,3813.0,1.0,0.0,
25.0,130.65166011971567,133.58540497568276,3919.0,4007.0,131.31842031425364,3939.0,1.0,0.0,
26.0,134.7522353161242,137.75265619154507,4042.0,4132.0,135.3523194912084,4060.0,1.0,0.0,
27.0,141.31982323232322,144.4535961466517,4239.0,4333.0,142.18661148522258,4265.0,1.0,0.0,
28.0,146.05382061354285,148.78753741114852,4381.0,4463.0,146.6872427983539,4400.0,1.0,0.0,
29.0,149.95436775158998,152.78809857837635,4498.0,4583.0,150.62112794612796,4518.0,1.0,0.0,
30.0,153.52153479236813,156.6553077066966,4605.0,4699.0,154.15495697717918,4624.0,1.0,0.0,
31.0,160.68920688365134,163.6896277590722,4820.0,4910.0,161.5893331462776,4847.0,1.0,0.0,
32.0,164.75644407033295,168.05690703329591,4942.0,5041.0,165.62323232323232,4968.0,1.0,0.0,
33.0,169.55711747100636,175.19124111485223,5086.0,5255.0,172.55753834642724,5176.0,1.0,0.0,
34.0,176.89147961092405,180.15860456416013,5306.0,5404.0,177.72492985409653,5331.0,1.0,0.0,
35.0,180.7920267489712,185.85940422745975,5423.0,5575.0,183.49240553685,5504.0,1.0,0.0,
36.0,187.7263327721661,191.12680976430977,5631.0,5733.0,188.55978301533852,5656.0,1.0,0.0,
37.0,194.09389263000372,197.4610316124205,5822.0,5923.0,194.8606668537224,5845.0,1.0,0.0,
38.0,200.36143845866067,203.36185933408157,6010.0,6100.0,201.02819865319864,6030.0,1.0,0.0,
39.0,206.6623222970445,209.7294191919192,6199.0,6291.0,207.2957444818556,6218.0,1.0,0.0,
40.0,211.2296296296296,214.83013468013468,6336.0,6444.0,212.19643191170968,6365.0,1.0,0.0,
41.0,215.69692293303405,219.2307519640853,6470.0,6576.0,216.8304152637486,6504.0,1.0,0.0,
42.0,220.76430041152264,223.46467919940144,6622.0,6703.0,221.4310606060606,6642.0,1.0,0.0,
43.0,225.89835390946504,229.99892910587357,6776.0,6899.0,227.99864852225963,6839.0,1.0,0.0,
44.0,235.9664328469884,238.86683969322857,7078.0,7165.0,236.73320707070707,7101.0,1.0,0.0,
45.0,243.96755518144408,247.3680321735877,7318.0,7420.0,244.90101945379723,7346.0,1.0,0.0,
46.0,248.73489057239053,251.9686775158997,7461.0,7558.0,249.60167882528992,7487.0,1.0,0.0,
47.0,252.8021277590722,255.90256266367376,7583.0,7676.0,253.83560606060607,7614.0,1.0,0.0,
