attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,5.4054,8.074733333333333,162.0,242.0,6.439766666666666,193.0,1.0,0.0,
2.0,8.875533333333333,11.244566666666667,266.0,337.0,9.542866666666669,286.0,1.0,0.0,
3.0,12.3123,14.748066666666666,369.0,442.0,12.9129,387.0,1.0,0.0,
4.0,15.749066666666668,18.151466666666668,472.0,544.0,16.249566666666666,487.0,1.0,0.0,
5.0,20.153466666666667,22.756066666666666,604.0,682.0,20.98763333333333,629.0,1.0,0.0,
6.0,25.3253,28.3283,759.0,849.0,26.559866666666668,796.0,1.0,0.0,
7.0,29.89653333333333,32.332300000000004,896.0,969.0,30.49713333333333,914.0,1.0,0.0,
8.0,34.9349,37.8378,1047.0,1134.0,35.7357,1071.0,1.0,0.0,
9.0,38.7387,41.3413,1161.0,1239.0,39.606233333333336,1187.0,1.0,0.0,
10.0,44.7447,47.21383333333333,1341.0,1415.0,45.37866666666667,1360.0,1.0,0.0,
11.0,49.01563333333333,51.4514,1469.0,1542.0,49.61623333333333,1487.0,1.0,0.0,
12.0,52.78606666666667,55.3553,1582.0,1659.0,53.62023333333333,1607.0,1.0,0.0,
13.0,58.42503333333333,61.2612,1751.0,1836.0,59.19246666666667,1774.0,1.0,0.0,
14.0,65.73233333333333,68.43503333333334,1970.0,2051.0,66.33293333333333,1988.0,1.0,0.0,
15.0,70.10336666666667,73.00626666666666,2101.0,2188.0,70.8708,2124.0,1.0,0.0,
16.0,73.9739,76.67660000000001,2217.0,2298.0,74.5745,2235.0,1.0,0.0,
17.0,78.44503333333334,81.34793333333333,2351.0,2438.0,79.1791,2373.0,1.0,0.0,
18.0,82.44903333333333,85.08500000000001,2471.0,2550.0,83.11636666666666,2491.0,1.0,0.0,
19.0,86.25283333333333,88.7887,2585.0,2661.0,86.88680000000001,2604.0,1.0,0.0,
20.0,90.42366666666666,93.3933,2710.0,2799.0,91.8918,2754.0,5.0,1.0,fingers crossed but block not transferred
21.0,93.42666666666666,95.9959,2800.0,2877.0,94.02726666666666,2818.0,1.0,0.0,
22.0,97.06363333333331,99.3993,2909.0,2979.0,97.66423333333331,2927.0,1.0,0.0,
23.0,101.83506666666666,104.97153333333334,3052.0,3146.0,103.03626666666666,3088.0,1.0,0.0,
24.0,107.77433333333332,110.6105,3230.0,3315.0,108.77533333333334,3260.0,1.0,0.0,
25.0,111.77833333333334,114.34756666666668,3350.0,3427.0,112.5124,3372.0,1.0,0.0,
26.0,117.117,119.9198,3510.0,3594.0,117.8177,3531.0,1.0,0.0,
27.0,121.48803333333332,124.39093333333334,3641.0,3728.0,122.4223,3669.0,1.0,0.0,
28.0,125.45866666666667,127.69423333333332,3760.0,3827.0,125.99253333333334,3776.0,1.0,0.0,
29.0,130.09663333333333,132.46566666666666,3899.0,3970.0,130.7306,3918.0,1.0,0.0,
30.0,133.96716666666666,136.60313333333335,4015.0,4094.0,134.8347,4041.0,1.0,0.0,
31.0,139.87306666666666,142.7426,4192.0,4278.0,140.67386666666667,4216.0,1.0,0.0,
32.0,143.77696666666668,146.57976666666667,4309.0,4393.0,144.57776666666666,4333.0,1.0,0.0,
33.0,148.01453333333333,150.5504,4436.0,4512.0,148.78196666666668,4459.0,1.0,0.0,
34.0,153.01953333333333,155.78896666666668,4586.0,4669.0,153.82033333333334,4610.0,1.0,0.0,
35.0,156.92343333333335,159.59276666666668,4703.0,4783.0,157.6575,4725.0,1.0,0.0,
36.0,161.5614,164.39756666666668,4842.0,4927.0,162.4623,4869.0,1.0,0.0,
37.0,165.7656,168.43493333333333,4968.0,5048.0,166.59976666666668,4993.0,1.0,0.0,
38.0,171.00416666666666,173.77360000000002,5125.0,5208.0,171.83833333333334,5150.0,1.0,0.0,
39.0,176.24273333333335,179.0789,5282.0,5367.0,176.9768,5304.0,1.0,0.0,
40.0,182.81596666666667,185.41856666666664,5479.0,5557.0,183.41656666666668,5497.0,1.0,0.0,
41.0,186.4863,189.45593333333332,5589.0,5678.0,187.5874,5622.0,1.0,0.0,
42.0,190.2901,192.6925,5703.0,5775.0,190.8907,5721.0,1.0,0.0,
43.0,194.82796666666667,197.43056666666664,5839.0,5917.0,195.46193333333332,5858.0,1.0,0.0,
44.0,199.4993,201.8683333333333,5979.0,6050.0,200.16663333333327,5999.0,1.0,0.0,
45.0,203.0695333333333,206.0058,6086.0,6174.0,204.07053333333332,6116.0,1.0,0.0,
46.0,207.207,209.8096,6210.0,6288.0,208.0078,6234.0,1.0,0.0,
47.0,210.9107,213.34646666666663,6321.0,6394.0,211.5780333333333,6341.0,1.0,0.0,
48.0,217.35046666666668,220.45356666666663,6514.0,6607.0,218.7185,6555.0,1.0,0.0,
49.0,221.55466666666663,224.0238,6640.0,6714.0,222.222,6660.0,1.0,0.0,
50.0,226.05916666666667,228.6284,6775.0,6852.0,226.6264,6792.0,1.0,0.0,
51.0,229.8296,233.0328,6888.0,6984.0,230.7972333333333,6917.0,1.0,0.0,
52.0,234.6344,237.1369,7032.0,7107.0,235.20163333333332,7049.0,1.0,0.0,
53.0,239.1055333333333,241.20763333333332,7166.0,7229.0,239.60603333333333,7181.0,1.0,0.0,
54.0,246.5463,248.9153333333333,7389.0,7460.0,247.28036666666668,7411.0,1.0,0.0,
55.0,250.38346666666664,252.8526,7504.0,7578.0,251.18426666666667,7528.0,1.0,0.0,
56.0,254.48756666666668,257.0568,7627.0,7704.0,255.1549,7647.0,1.0,0.0,
