attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,3.5702333333333334,7.5075,107.0,225.0,4.871533333333334,146.0,2.0,1.0,"Block transferred, but failure because the fingers did not cross"
2.0,7.6076,10.8108,228.0,324.0,8.842166666666667,265.0,1.0,0.0,
3.0,12.245566666666669,15.048366666666666,367.0,451.0,13.346666666666668,400.0,5.0,1.0,cant tell if hand crossed
4.0,15.6156,18.08473333333333,468.0,542.0,16.983633333333334,509.0,1.0,0.0,
5.0,18.651966666666667,20.954266666666665,559.0,628.0,19.7197,591.0,1.0,0.0,
6.0,22.18883333333333,24.391033333333333,665.0,731.0,23.08973333333333,692.0,1.0,0.0,
7.0,25.19183333333333,27.3273,755.0,819.0,25.99263333333333,779.0,1.0,0.0,
8.0,28.7287,31.031,861.0,930.0,29.462766666666667,883.0,1.0,0.0,
9.0,32.89953333333333,35.268566666666665,986.0,1057.0,33.9339,1017.0,1.0,0.0,
10.0,35.8358,38.104733333333336,1074.0,1142.0,36.70333333333333,1100.0,1.0,0.0,
11.0,38.705333333333336,41.37466666666667,1160.0,1240.0,39.6396,1188.0,1.0,0.0,
12.0,41.90853333333333,44.2442,1256.0,1326.0,42.70933333333333,1280.0,1.0,0.0,
13.0,44.67796666666667,47.08036666666667,1339.0,1411.0,45.57886666666667,1366.0,1.0,0.0,
14.0,47.51413333333333,50.31693333333333,1424.0,1508.0,48.314933333333336,1448.0,1.0,0.0,
15.0,50.48376666666667,52.819433333333336,1513.0,1583.0,51.28456666666667,1537.0,1.0,0.0,
16.0,53.48676666666667,56.08936666666667,1603.0,1681.0,54.28756666666667,1627.0,1.0,0.0,
17.0,57.3573,60.193466666666666,1719.0,1804.0,58.458400000000005,1752.0,1.0,0.0,
18.0,60.927533333333336,63.9639,1826.0,1917.0,61.89516666666667,1855.0,1.0,0.0,
19.0,65.19846666666666,67.8678,1954.0,2034.0,66.2662,1986.0,1.0,0.0,
20.0,69.10236666666667,71.43803333333334,2071.0,2141.0,70.03663333333334,2099.0,1.0,0.0,
21.0,71.93853333333334,74.94153333333334,2156.0,2246.0,73.10636666666667,2191.0,1.0,0.0,
22.0,77.27720000000001,79.64623333333333,2316.0,2387.0,78.11136666666667,2341.0,1.0,0.0,
23.0,81.081,83.65023333333333,2430.0,2507.0,82.04863333333333,2459.0,1.0,0.0,
24.0,89.65623333333333,92.7927,2687.0,2781.0,90.95753333333332,2726.0,1.0,0.0,
25.0,93.093,95.7957,2790.0,2871.0,94.12736666666667,2821.0,1.0,0.0,
26.0,96.4964,99.33256666666666,2892.0,2977.0,97.2972,2916.0,1.0,0.0,
27.0,100.83406666666669,103.53676666666668,3022.0,3103.0,101.8017,3051.0,1.0,0.0,
28.0,104.8047,107.97453333333334,3141.0,3236.0,105.8057,3171.0,1.0,0.0,
29.0,108.77533333333334,111.47803333333331,3260.0,3341.0,109.8097,3291.0,2.0,1.0,"Block transferred, but failure because the fingers did not cross"
30.0,112.4123,115.18173333333334,3369.0,3452.0,113.4133,3399.0,1.0,0.0,
31.0,115.8157,118.55176666666668,3471.0,3553.0,116.5164,3492.0,1.0,0.0,
32.0,119.6195,122.05526666666668,3585.0,3658.0,120.45366666666666,3610.0,1.0,0.0,
33.0,124.95816666666668,127.4273,3745.0,3819.0,125.8257,3771.0,1.0,0.0,
34.0,128.2281,130.66386666666668,3843.0,3916.0,129.129,3870.0,1.0,0.0,
35.0,131.26446666666666,134.00053333333332,3934.0,4016.0,132.0319,3957.0,1.0,0.0,
36.0,134.86806666666666,137.37056666666666,4042.0,4117.0,135.7356,4068.0,1.0,0.0,
37.0,137.70423333333335,140.40693333333334,4127.0,4208.0,138.50503333333333,4151.0,1.0,0.0,
38.0,141.2411,143.47666666666666,4233.0,4300.0,142.0419,4257.0,1.0,0.0,
39.0,144.2441,147.34720000000002,4323.0,4416.0,145.71223333333333,4367.0,1.0,0.0,
40.0,148.0479,150.58376666666666,4437.0,4513.0,148.81533333333334,4460.0,1.0,0.0,
41.0,154.92143333333334,157.42393333333334,4643.0,4718.0,155.8557,4671.0,1.0,0.0,
42.0,158.02453333333332,160.39356666666666,4736.0,4807.0,158.8587,4761.0,1.0,0.0,
43.0,161.02753333333334,163.6635,4826.0,4905.0,161.72823333333335,4847.0,1.0,0.0,
44.0,164.69786666666667,167.80096666666668,4936.0,5029.0,165.8657,4971.0,1.0,0.0,
45.0,170.2701,172.80596666666668,5103.0,5179.0,171.20436666666666,5131.0,1.0,0.0,
46.0,174.30746666666667,176.64313333333334,5224.0,5294.0,175.175,5250.0,1.0,0.0,
47.0,177.71086666666667,179.9798,5326.0,5394.0,178.54503333333335,5351.0,1.0,0.0,
48.0,182.5490333333333,185.1516333333333,5471.0,5549.0,183.44993333333332,5498.0,1.0,0.0,
49.0,186.31946666666667,188.72186666666667,5584.0,5656.0,187.05353333333332,5606.0,1.0,0.0,
50.0,189.65613333333332,191.8917,5684.0,5751.0,190.42356666666663,5707.0,1.0,0.0,
51.0,193.5934,196.52966666666663,5802.0,5890.0,194.32746666666668,5824.0,1.0,0.0,
52.0,197.8977,200.23336666666668,5931.0,6001.0,198.56503333333333,5951.0,1.0,0.0,
53.0,200.7005,203.5033,6015.0,6099.0,201.53466666666668,6040.0,1.0,0.0,
54.0,203.97043333333332,206.94006666666667,6113.0,6202.0,204.73786666666663,6136.0,1.0,0.0,
55.0,208.34146666666663,210.9107,6244.0,6321.0,209.1089,6267.0,1.0,0.0,
56.0,212.212,214.7145,6360.0,6435.0,212.94606666666667,6382.0,1.0,0.0,
57.0,215.8156,218.4182,6468.0,6546.0,216.58303333333333,6491.0,1.0,0.0,
58.0,219.15226666666663,221.5213,6568.0,6639.0,219.8863333333333,6590.0,1.0,0.0,
59.0,222.5223,225.05816666666664,6669.0,6745.0,223.28973333333332,6692.0,1.0,0.0,
60.0,226.35946666666663,228.59503333333333,6784.0,6851.0,227.16026666666667,6808.0,1.0,0.0,
61.0,229.06216666666668,231.231,6865.0,6930.0,229.6961333333333,6884.0,1.0,0.0,
62.0,231.9317,234.4342,6951.0,7026.0,232.5323,6969.0,1.0,0.0,
63.0,235.9357,238.9387,7071.0,7161.0,236.60303333333331,7091.0,1.0,0.0,
64.0,239.60603333333333,241.9417,7181.0,7251.0,240.3067333333333,7202.0,1.0,0.0,
65.0,243.6434,246.4462,7302.0,7386.0,244.37746666666663,7324.0,1.0,0.0,
