attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,2.3333333333333335,5.566666666666666,70.0,167.0,3.066666666666667,92.0,1.0,0.0,
2.0,7.9,10.633333333333333,237.0,319.0,8.6,258.0,1.0,0.0,
3.0,12.7,14.933333333333334,381.0,448.0,13.2,396.0,1.0,0.0,
4.0,17.733333333333334,20.1,532.0,603.0,18.366666666666667,551.0,1.0,0.0,
5.0,22.166666666666668,24.433333333333337,665.0,733.0,22.833333333333332,685.0,1.0,0.0,
6.0,26.033333333333335,28.2,781.0,846.0,26.6,798.0,1.0,0.0,
7.0,29.866666666666667,32.3,896.0,969.0,30.533333333333335,916.0,1.0,0.0,
8.0,34.266666666666666,36.86666666666667,1028.0,1106.0,35.13333333333333,1054.0,1.0,0.0,
9.0,40.6,42.833333333333336,1218.0,1285.0,41.46666666666667,1244.0,1.0,0.0,
10.0,45.1,47.36666666666667,1353.0,1421.0,45.93333333333333,1378.0,1.0,0.0,
11.0,48.7,50.9,1461.0,1527.0,49.4,1482.0,1.0,0.0,
12.0,52.53333333333333,54.7,1576.0,1641.0,53.2,1596.0,1.0,0.0,
13.0,56.4,58.56666666666667,1692.0,1757.0,57.166666666666664,1715.0,1.0,0.0,
14.0,60.6,63.0,1818.0,1890.0,61.333333333333336,1840.0,1.0,0.0,
15.0,65.3,67.4,1959.0,2022.0,66.06666666666666,1982.0,1.0,0.0,
16.0,69.46666666666667,71.76666666666667,2084.0,2153.0,70.36666666666666,2111.0,1.0,0.0,
17.0,74.8,77.03333333333333,2244.0,2311.0,75.5,2265.0,1.0,0.0,
18.0,79.46666666666667,81.86666666666666,2384.0,2456.0,80.26666666666667,2408.0,1.0,0.0,
19.0,83.56666666666666,86.36666666666666,2507.0,2591.0,84.53333333333333,2536.0,1.0,0.0,
20.0,89.0,91.53333333333332,2670.0,2746.0,89.86666666666666,2696.0,1.0,0.0,
21.0,94.06666666666666,96.63333333333334,2822.0,2899.0,94.96666666666668,2849.0,1.0,0.0,
22.0,99.76666666666668,102.13333333333334,2993.0,3064.0,100.56666666666666,3017.0,1.0,0.0,
23.0,106.2,109.2,3186.0,3276.0,107.16666666666669,3215.0,1.0,0.0,
24.0,111.3,113.83333333333331,3339.0,3415.0,112.13333333333334,3364.0,1.0,0.0,
25.0,117.06666666666666,119.86666666666666,3512.0,3596.0,117.86666666666666,3536.0,1.0,0.0,
26.0,123.0,125.26666666666668,3690.0,3758.0,123.83333333333331,3715.0,1.0,0.0,
27.0,128.83333333333334,131.1,3865.0,3933.0,129.46666666666667,3884.0,1.0,0.0,
28.0,132.46666666666667,134.56666666666666,3974.0,4037.0,133.13333333333333,3994.0,1.0,0.0,
29.0,137.53333333333333,139.7,4126.0,4191.0,138.13333333333333,4144.0,1.0,0.0,
30.0,141.3,143.5,4239.0,4305.0,141.83333333333334,4255.0,1.0,0.0,
31.0,146.46666666666667,148.33333333333334,4394.0,4450.0,147.13333333333333,4414.0,1.0,0.0,
32.0,150.36666666666667,152.46666666666667,4511.0,4574.0,151.13333333333333,4534.0,1.0,0.0,
33.0,155.13333333333333,157.06666666666666,4654.0,4712.0,155.83333333333334,4675.0,1.0,0.0,
34.0,159.56666666666666,161.6,4787.0,4848.0,160.33333333333334,4810.0,1.0,0.0,
35.0,164.63333333333333,166.56666666666666,4939.0,4997.0,165.23333333333332,4957.0,1.0,0.0,
36.0,169.06666666666666,171.2,5072.0,5136.0,169.76666666666668,5093.0,1.0,0.0,
37.0,175.16666666666666,177.1,5255.0,5313.0,175.66666666666666,5270.0,1.0,0.0,
38.0,179.56666666666666,182.03333333333333,5387.0,5461.0,180.33333333333337,5410.0,1.0,0.0,
39.0,184.23333333333332,186.26666666666668,5527.0,5588.0,184.9,5547.0,1.0,0.0,
40.0,189.3,191.36666666666667,5679.0,5741.0,189.96666666666667,5699.0,1.0,0.0,
41.0,194.96666666666667,197.9,5849.0,5937.0,196.2,5886.0,1.0,0.0,
42.0,199.33333333333337,201.5,5980.0,6045.0,200.13333333333333,6004.0,1.0,0.0,
43.0,204.03333333333333,206.43333333333337,6121.0,6193.0,204.76666666666668,6143.0,1.0,0.0,
44.0,208.13333333333333,210.06666666666663,6244.0,6302.0,208.7,6261.0,1.0,0.0,
45.0,211.93333333333337,213.8,6358.0,6414.0,212.43333333333337,6373.0,1.0,0.0,
46.0,216.83333333333337,219.0,6505.0,6570.0,217.63333333333333,6529.0,1.0,0.0,
47.0,221.03333333333333,223.23333333333332,6631.0,6697.0,221.86666666666667,6656.0,1.0,0.0,
48.0,225.8,227.73333333333332,6774.0,6832.0,226.36666666666667,6791.0,1.0,0.0,
49.0,230.96666666666667,232.86666666666667,6929.0,6986.0,231.53333333333333,6946.0,1.0,0.0,
50.0,237.9,240.66666666666663,7137.0,7220.0,238.63333333333333,7159.0,1.0,0.0,
51.0,244.8,246.63333333333333,7344.0,7399.0,245.3,7359.0,1.0,0.0,
52.0,249.6,249.8,7488.0,7494.0,249.8,7494.0,0.0,0.0,
