attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,4.571233333333334,8.141466666666666,137.0,244.0,5.638966666666667,169.0,1.0,0.0,
2.0,9.843166666666669,12.946266666666666,295.0,388.0,10.777433333333333,323.0,1.0,0.0,
3.0,14.547866666666668,17.1171,436.0,513.0,15.348666666666666,460.0,1.0,0.0,
4.0,19.185833333333335,21.654966666666667,575.0,649.0,19.986633333333337,599.0,1.0,0.0,
5.0,23.9239,26.993633333333335,717.0,809.0,24.858166666666666,745.0,1.0,0.0,
6.0,29.062366666666662,32.1321,871.0,963.0,30.03,900.0,1.0,0.0,
7.0,35.20183333333333,38.038,1055.0,1140.0,35.96926666666667,1078.0,1.0,0.0,
8.0,41.274566666666665,44.81143333333333,1237.0,1343.0,42.4424,1272.0,1.0,0.0,
9.0,47.21383333333333,50.3503,1415.0,1509.0,47.98126666666667,1438.0,1.0,0.0,
10.0,52.619233333333334,55.42203333333333,1577.0,1661.0,53.420033333333336,1601.0,1.0,0.0,
11.0,57.424033333333334,60.126733333333334,1721.0,1802.0,58.29156666666667,1747.0,1.0,0.0,
12.0,62.69596666666667,65.03163333333333,1879.0,1949.0,63.5635,1905.0,1.0,0.0,
13.0,66.5665,68.90216666666667,1995.0,2065.0,67.20046666666667,2014.0,1.0,0.0,
14.0,73.40666666666667,76.34293333333333,2200.0,2288.0,74.30756666666667,2227.0,1.0,0.0,
15.0,79.4794,82.34893333333333,2382.0,2468.0,80.51376666666667,2413.0,1.0,0.0,
16.0,85.65223333333333,88.45503333333333,2567.0,2651.0,86.41966666666667,2590.0,1.0,0.0,
17.0,90.65723333333334,93.093,2717.0,2790.0,91.55813333333332,2744.0,1.0,0.0,
18.0,94.62786666666666,96.83006666666668,2836.0,2902.0,95.36193333333334,2858.0,1.0,0.0,
19.0,98.16473333333332,100.43366666666668,2942.0,3010.0,99.13236666666668,2971.0,1.0,0.0,
20.0,102.13536666666668,104.23746666666666,3061.0,3124.0,102.96953333333332,3086.0,1.0,0.0,
21.0,107.47403333333334,109.74296666666667,3221.0,3289.0,108.37493333333332,3248.0,1.0,0.0,
22.0,113.113,115.3152,3390.0,3456.0,113.78033333333332,3410.0,1.0,0.0,
23.0,117.6175,119.9198,3525.0,3594.0,118.55176666666668,3553.0,1.0,0.0,
24.0,121.95516666666668,124.09063333333332,3655.0,3719.0,122.8227,3681.0,1.0,0.0,
25.0,126.09263333333334,128.66186666666667,3779.0,3856.0,126.99353333333332,3806.0,1.0,0.0,
26.0,132.2321,134.50103333333334,3963.0,4031.0,132.96616666666668,3985.0,1.0,0.0,
27.0,136.70323333333334,139.0389,4097.0,4167.0,137.4373,4119.0,1.0,0.0,
28.0,140.9408,143.30983333333333,4224.0,4295.0,141.80833333333334,4250.0,1.0,0.0,
29.0,146.57976666666667,149.48266666666666,4393.0,4480.0,147.4473,4419.0,1.0,0.0,
30.0,150.58376666666666,153.153,4513.0,4590.0,151.5514,4542.0,1.0,0.0,
31.0,154.38756666666666,156.62313333333333,4627.0,4694.0,155.22173333333333,4652.0,1.0,0.0,
32.0,159.35920000000002,161.9618,4776.0,4854.0,160.2601,4803.0,1.0,0.0,
33.0,164.59776666666667,167.167,4933.0,5010.0,165.4653,4959.0,1.0,0.0,
34.0,169.33583333333334,171.6715,5075.0,5145.0,170.30346666666668,5104.0,1.0,0.0,
35.0,173.4733,175.74223333333333,5199.0,5267.0,174.3742,5226.0,1.0,0.0,
36.0,178.0779,180.34683333333336,5337.0,5405.0,178.91206666666668,5362.0,1.0,0.0,
37.0,182.74923333333336,184.8847,5477.0,5541.0,183.51666666666668,5500.0,1.0,0.0,
38.0,189.85633333333337,192.2921,5690.0,5763.0,190.95743333333337,5723.0,1.0,0.0,
39.0,193.56003333333337,196.02916666666667,5801.0,5875.0,194.46093333333337,5828.0,1.0,0.0,
40.0,197.86433333333335,200.4002,5930.0,6006.0,198.83196666666663,5959.0,1.0,0.0,
41.0,211.9117,214.48093333333333,6351.0,6428.0,212.8126,6378.0,1.0,0.0,
42.0,217.7175,220.15326666666667,6525.0,6598.0,218.6184,6552.0,1.0,0.0,
43.0,222.48893333333336,225.09153333333333,6668.0,6746.0,223.38983333333337,6695.0,1.0,0.0,
44.0,229.56266666666667,232.46556666666663,6880.0,6967.0,230.89733333333336,6920.0,1.0,0.0,
45.0,238.9387,242.242,7161.0,7260.0,240.37346666666667,7204.0,1.0,0.0,
