attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,1.166829908376963,3.333799738219895,35.0,100.0,1.7669138612565445,53.0,1.0,0.0,
2.0,3.700517709424084,5.867487539267016,111.0,176.0,4.500629646596859,135.0,1.0,0.0,
3.0,6.600923481675393,8.334499345549737,198.0,250.0,7.30102142670157,219.0,1.0,0.0,
4.0,9.367977264397906,11.368257107329844,281.0,341.0,9.934723219895288,298.0,1.0,0.0,
5.0,11.701637081151832,13.801930916230368,351.0,414.0,12.301721034031411,369.0,1.0,0.0,
6.0,15.402154790575915,17.435772630890053,462.0,523.0,16.168928730366492,485.0,1.0,0.0,
7.0,18.10253257853403,20.302840405759163,543.0,609.0,18.76929252617801,563.0,1.0,0.0,
8.0,21.30298032722513,23.303260170157067,639.0,699.0,21.869726282722517,656.0,1.0,0.0,
9.0,27.270481858638743,29.37077569371728,818.0,881.0,27.603861832460733,828.0,1.0,0.0,
10.0,30.470929607329843,32.304519463350786,914.0,969.0,31.071013560209423,932.0,1.0,0.0,
11.0,33.43801137434555,35.471629214659686,1003.0,1064.0,34.07143332460733,1022.0,1.0,0.0,
12.0,36.171727159685865,38.305358992146594,1085.0,1149.0,36.60512112565445,1098.0,1.0,0.0,
13.0,39.07213293193717,41.07241277486911,1172.0,1232.0,39.57220289267016,1187.0,1.0,0.0,
14.0,41.70583472513089,43.67277657068063,1251.0,1310.0,42.27258068062827,1268.0,1.0,0.0,
15.0,44.106170536649216,46.20646437172775,1323.0,1386.0,44.7062544895288,1341.0,1.0,0.0,
16.0,48.44011019633508,50.60708002617801,1453.0,1518.0,49.040194149214656,1471.0,1.0,0.0,
17.0,51.1404879842932,53.07409183246073,1534.0,1592.0,51.640557945026174,1549.0,1.0,0.0,
18.0,53.64083778795811,55.44108964659686,1609.0,1663.0,54.1075697513089,1623.0,1.0,0.0,
19.0,57.4413694895288,59.40831133507853,1723.0,1782.0,58.17480543193717,1745.0,1.0,0.0,
20.0,61.20856319371728,63.37553302356021,1836.0,1901.0,61.94199913612565,1858.0,1.0,0.0,
21.0,65.14244688481675,66.9760367408377,1954.0,2009.0,65.54250285340314,1966.0,1.0,0.0,
22.0,67.74281068062827,69.6764145287958,2032.0,2090.0,68.37623263089004,2051.0,1.0,0.0,
23.0,70.87658243455498,72.87686227748691,2126.0,2186.0,71.44332839005236,2143.0,1.0,0.0,
24.0,74.14370617801046,77.47750591623036,2224.0,2324.0,74.64377613874345,2239.0,1.0,0.0,
25.0,79.01105379581152,80.74462965968586,2370.0,2422.0,79.3777717670157,2381.0,1.0,0.0,
26.0,81.77810757853403,83.97841540575916,2453.0,2519.0,82.5782195157068,2477.0,1.0,0.0,
27.0,84.77852734293194,86.61211719895287,2543.0,2598.0,85.37861129581151,2561.0,1.0,0.0,
28.0,89.0457910078534,90.91271886125654,2671.0,2727.0,89.61253696335078,2688.0,1.0,0.0,
29.0,92.77964671465968,94.71325056282724,2783.0,2841.0,93.34639267015706,2800.0,1.0,0.0,
30.0,97.01357238219894,98.98051422774869,2910.0,2969.0,97.48030434554974,2924.0,1.0,0.0,
31.0,100.11400613874343,102.1142859816754,3003.0,3063.0,100.68075209424084,3020.0,1.0,0.0,
32.0,103.34779188481674,105.21471973821988,3100.0,3156.0,103.78118585078532,3113.0,1.0,0.0,
33.0,106.24819765706806,109.21527942408376,3187.0,3276.0,107.748407539267,3232.0,1.0,0.0,
34.0,110.81550329842932,112.98247312827225,3324.0,3389.0,111.61561523560208,3348.0,1.0,0.0,
35.0,113.8492610602094,115.71618891361256,3415.0,3471.0,114.3159930235602,3429.0,1.0,0.0,
36.0,116.84968082460732,118.61659468586387,3505.0,3558.0,117.38308878272252,3521.0,1.0,0.0,
37.0,121.41698646596858,123.58395629581152,3642.0,3707.0,122.18376040575916,3665.0,1.0,0.0,
38.0,125.31753215968584,127.58451598167538,3759.0,3827.0,125.98429210732984,3779.0,1.0,0.0,
39.0,128.08458594240838,129.88483780104713,3842.0,3896.0,128.61799390052354,3858.0,1.0,0.0,
40.0,131.48506167539267,133.4520035209424,3944.0,4003.0,132.01846963350783,3960.0,1.0,0.0,
41.0,135.61897335078532,137.65259119109948,4068.0,4129.0,136.3190712958115,4089.0,1.0,0.0,
42.0,138.55271712041883,140.252954986911,4156.0,4207.0,139.1861390706806,4175.0,1.0,0.0,
43.0,142.15322083769632,143.98681069371727,4264.0,4319.0,142.7533047905759,4282.0,1.0,0.0,
44.0,145.02028861256545,147.25393443717277,4350.0,4417.0,145.9204145418848,4377.0,1.0,0.0,
45.0,149.3875662696335,151.75456408376962,4481.0,4552.0,150.0209882198953,4500.0,1.0,0.0,
46.0,153.0880839790576,155.25505380890053,4592.0,4657.0,153.72150592931936,4611.0,1.0,0.0,
47.0,156.28853172774868,159.2556134947644,4688.0,4777.0,157.02196767015707,4710.0,1.0,0.0,
48.0,161.8559772905759,163.98960912303664,4855.0,4919.0,162.4227232460733,4872.0,1.0,0.0,
49.0,165.4564810078534,167.45676085078534,4963.0,5023.0,166.08990295811518,4982.0,1.0,0.0,
50.0,169.15699871727747,171.4906585340314,5074.0,5144.0,169.75708267015708,5092.0,1.0,0.0,
51.0,172.1574184816754,174.3243883115183,5164.0,5229.0,172.69082643979056,5180.0,1.0,0.0,
52.0,175.2578522382199,177.49149806282722,5257.0,5324.0,175.95795018324606,5278.0,1.0,0.0,
53.0,179.12505993455497,181.2253537696335,5373.0,5436.0,179.69180589005234,5390.0,1.0,0.0,
54.0,182.22549369109947,184.325787526178,5466.0,5529.0,182.75890164921464,5482.0,1.0,0.0,
55.0,185.35926544502615,187.32620729057592,5560.0,5619.0,185.89267340314132,5576.0,1.0,0.0,
56.0,188.25967121727749,190.4599790445026,5647.0,5713.0,188.75974117801047,5662.0,1.0,0.0,
57.0,192.09354091623035,193.82711678010472,5762.0,5814.0,192.49359688481675,5774.0,1.0,0.0,
58.0,196.6608465575916,198.82781638743452,5899.0,5964.0,197.1275785209424,5913.0,1.0,0.0,
59.0,199.19453435863875,201.42818018324607,5975.0,6042.0,200.0946602879581,6002.0,1.0,0.0,
60.0,202.76170007853403,204.6286279319372,6082.0,6138.0,203.2284320418848,6096.0,1.0,0.0,
61.0,205.36206387434555,207.39568171465967,6160.0,6221.0,205.96214782722512,6178.0,1.0,0.0,
62.0,208.22913164921465,210.0627215052356,6246.0,6301.0,208.82921560209425,6264.0,1.0,0.0,
63.0,211.09619942408372,215.6968430628272,6332.0,6470.0,212.36304332460733,6370.0,1.0,0.0,
64.0,216.6969829842932,219.03064280104712,6500.0,6570.0,217.2970669371728,6518.0,1.0,0.0,
65.0,221.73102058900523,223.83131442408376,6651.0,6714.0,222.197752552356,6665.0,1.0,0.0,
66.0,225.6982422774869,227.89855010471203,6770.0,6836.0,226.43167821989528,6792.0,1.0,0.0,
67.0,233.6660236518325,235.266247526178,7009.0,7057.0,234.13275561518324,7023.0,1.0,0.0,
68.0,235.9996834685864,238.6333852617801,7079.0,7158.0,236.5330914267016,7095.0,1.0,0.0,
69.0,239.4334971989529,243.3340428926701,7182.0,7299.0,240.13359514397905,7203.0,1.0,0.0,
70.0,243.43405688481675,245.50101272251308,7302.0,7364.0,243.76743685863875,7312.0,1.0,0.0,
