attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,5.4054,8.074733333333333,162,242,6.439766666666666,193
2,8.875533333333333,11.244566666666667,266,337,9.542866666666667,286
3,12.3123,14.748066666666666,369,442,12.9129,387
4,15.749066666666668,18.151466666666668,472,544,16.249566666666666,487
5,20.153466666666667,22.756066666666666,604,682,20.987633333333335,629
6,25.325300000000002,28.328300000000002,759,849,26.559866666666668,796
7,29.896533333333334,32.332300000000004,896,969,30.497133333333334,914
8,34.9349,37.8378,1047,1134,35.7357,1071
9,38.7387,41.341300000000004,1161,1239,39.606233333333336,1187
10,44.7447,47.21383333333333,1341,1415,45.37866666666667,1360
11,49.015633333333334,51.4514,1469,1542,49.616233333333334,1487
12,52.78606666666667,55.3553,1582,1659,53.62023333333333,1607
13,58.42503333333333,61.2612,1751,1836,59.19246666666667,1774
14,65.73233333333333,68.43503333333334,1970,2051,66.33293333333333,1988
15,70.10336666666667,73.00626666666666,2101,2188,70.8708,2124
16,73.9739,76.67660000000001,2217,2298,74.5745,2235
17,78.44503333333334,81.34793333333333,2351,2438,79.1791,2373
18,82.44903333333333,85.08500000000001,2471,2550,83.11636666666666,2491
19,86.25283333333333,88.7887,2585,2661,86.88680000000001,2604
20,90.42366666666666,93.3933,2710,2799,91.8918,2754
21,93.42666666666666,95.9959,2800,2877,94.02726666666666,2818
22,97.06363333333333,99.3993,2909,2979,97.66423333333333,2927
23,101.83506666666666,104.97153333333334,3052,3146,103.03626666666666,3088
24,107.77433333333333,110.6105,3230,3315,108.77533333333334,3260
25,111.77833333333334,114.34756666666667,3350,3427,112.5124,3372
26,117.117,119.9198,3510,3594,117.8177,3531
27,121.48803333333333,124.39093333333334,3641,3728,122.4223,3669
28,125.45866666666667,127.69423333333333,3760,3827,125.99253333333334,3776
29,130.09663333333333,132.46566666666666,3899,3970,130.7306,3918
30,133.96716666666666,136.60313333333335,4015,4094,134.8347,4041
31,139.87306666666666,142.7426,4192,4278,140.67386666666667,4216
32,143.77696666666668,146.57976666666667,4309,4393,144.57776666666666,4333
33,148.01453333333333,150.5504,4436,4512,148.78196666666668,4459
34,153.01953333333333,155.78896666666668,4586,4669,153.82033333333334,4610
35,156.92343333333335,159.59276666666668,4703,4783,157.6575,4725
36,161.5614,164.39756666666668,4842,4927,162.4623,4869
37,165.7656,168.43493333333333,4968,5048,166.59976666666668,4993
38,171.00416666666666,173.77360000000002,5125,5208,171.83833333333334,5150
39,176.24273333333335,179.0789,5282,5367,176.9768,5304
40,182.81596666666667,185.41856666666666,5479,5557,183.41656666666668,5497
41,186.4863,189.45593333333335,5589,5678,187.5874,5622
42,190.2901,192.6925,5703,5775,190.8907,5721
43,194.82796666666667,197.43056666666666,5839,5917,195.46193333333335,5858
44,199.4993,201.86833333333334,5979,6050,200.16663333333332,5999
45,203.06953333333334,206.0058,6086,6174,204.07053333333334,6116
46,207.207,209.80960000000002,6210,6288,208.0078,6234
47,210.9107,213.34646666666666,6321,6394,211.57803333333334,6341
48,217.35046666666668,220.45356666666666,6514,6607,218.7185,6555
49,221.55466666666666,224.0238,6640,6714,222.222,6660
50,226.05916666666667,228.6284,6775,6852,226.62640000000002,6792
51,229.8296,233.0328,6888,6984,230.79723333333334,6917
52,234.6344,237.1369,7032,7107,235.20163333333335,7049
53,239.10553333333334,241.20763333333335,7166,7229,239.60603333333333,7181
54,246.5463,248.91533333333334,7389,7460,247.28036666666668,7411
55,250.38346666666666,252.8526,7504,7578,251.18426666666667,7528
56,254.48756666666668,257.0568,7627,7704,255.1549,7647
