attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,3.5702333333333334,7.5075,107,225,4.871533333333334,146
2,7.6076,10.8108,228,324,8.842166666666667,265
3,12.245566666666667,15.048366666666666,367,451,13.346666666666668,400
4,15.6156,18.084733333333332,468,542,16.983633333333334,509
5,18.651966666666667,20.954266666666665,559,628,19.7197,591
6,22.188833333333335,24.391033333333333,665,731,23.089733333333335,692
7,25.191833333333335,27.3273,755,819,25.992633333333334,779
8,28.7287,31.031,861,930,29.462766666666667,883
9,32.89953333333333,35.268566666666665,986,1057,33.9339,1017
10,35.8358,38.104733333333336,1074,1142,36.70333333333333,1100
11,38.705333333333336,41.37466666666667,1160,1240,39.6396,1188
12,41.90853333333333,44.2442,1256,1326,42.70933333333333,1280
13,44.67796666666667,47.08036666666667,1339,1411,45.57886666666667,1366
14,47.514133333333334,50.31693333333333,1424,1508,48.314933333333336,1448
15,50.48376666666667,52.819433333333336,1513,1583,51.28456666666667,1537
16,53.48676666666667,56.08936666666667,1603,1681,54.28756666666667,1627
17,57.3573,60.193466666666666,1719,1804,58.458400000000005,1752
18,60.927533333333336,63.9639,1826,1917,61.89516666666667,1855
19,65.19846666666666,67.8678,1954,2034,66.2662,1986
20,69.10236666666667,71.43803333333334,2071,2141,70.03663333333334,2099
21,71.93853333333334,74.94153333333334,2156,2246,73.10636666666667,2191
22,77.27720000000001,79.64623333333333,2316,2387,78.11136666666667,2341
23,81.081,83.65023333333333,2430,2507,82.04863333333333,2459
24,89.65623333333333,92.7927,2687,2781,90.95753333333333,2726
25,93.093,95.7957,2790,2871,94.12736666666667,2821
26,96.49640000000001,99.33256666666666,2892,2977,97.2972,2916
27,100.83406666666667,103.53676666666667,3022,3103,101.8017,3051
28,104.8047,107.97453333333334,3141,3236,105.8057,3171
29,108.77533333333334,111.47803333333333,3260,3341,109.8097,3291
30,112.4123,115.18173333333334,3369,3452,113.4133,3399
31,115.8157,118.55176666666667,3471,3553,116.5164,3492
32,119.6195,122.05526666666667,3585,3658,120.45366666666666,3610
33,124.95816666666667,127.4273,3745,3819,125.8257,3771
34,128.2281,130.66386666666668,3843,3916,129.129,3870
35,131.26446666666666,134.00053333333332,3934,4016,132.0319,3957
36,134.86806666666666,137.37056666666666,4042,4117,135.7356,4068
37,137.70423333333335,140.40693333333334,4127,4208,138.50503333333333,4151
38,141.2411,143.47666666666666,4233,4300,142.0419,4257
39,144.2441,147.34720000000002,4323,4416,145.71223333333333,4367
40,148.0479,150.58376666666666,4437,4513,148.81533333333334,4460
41,154.92143333333334,157.42393333333334,4643,4718,155.8557,4671
42,158.02453333333332,160.39356666666666,4736,4807,158.8587,4761
43,161.02753333333334,163.6635,4826,4905,161.72823333333335,4847
44,164.69786666666667,167.80096666666668,4936,5029,165.8657,4971
45,170.2701,172.80596666666668,5103,5179,171.20436666666666,5131
46,174.30746666666667,176.64313333333334,5224,5294,175.175,5250
47,177.71086666666667,179.9798,5326,5394,178.54503333333335,5351
48,182.54903333333334,185.15163333333334,5471,5549,183.44993333333335,5498
49,186.31946666666667,188.72186666666667,5584,5656,187.05353333333335,5606
50,189.65613333333334,191.89170000000001,5684,5751,190.42356666666666,5707
51,193.5934,196.52966666666666,5802,5890,194.32746666666668,5824
52,197.89770000000001,200.23336666666668,5931,6001,198.56503333333333,5951
53,200.7005,203.5033,6015,6099,201.53466666666668,6040
54,203.97043333333335,206.94006666666667,6113,6202,204.73786666666666,6136
55,208.34146666666666,210.9107,6244,6321,209.1089,6267
56,212.21200000000002,214.71450000000002,6360,6435,212.94606666666667,6382
57,215.81560000000002,218.4182,6468,6546,216.58303333333333,6491
58,219.15226666666666,221.5213,6568,6639,219.88633333333334,6590
59,222.5223,225.05816666666666,6669,6745,223.28973333333334,6692
60,226.35946666666666,228.59503333333333,6784,6851,227.16026666666667,6808
61,229.06216666666668,231.231,6865,6930,229.69613333333334,6884
62,231.9317,234.4342,6951,7026,232.5323,6969
63,235.9357,238.9387,7071,7161,236.60303333333334,7091
64,239.60603333333333,241.9417,7181,7251,240.30673333333334,7202
65,243.6434,246.4462,7302,7386,244.37746666666666,7324
