attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,6.633333333333334,9.366666666666667,199,281,7.533333333333333,226
2,13.5,16.066666666666666,405,482,14.4,432
3,17.8,19.766666666666666,534,593,18.4,552
4,23.3,25.833333333333332,699,775,24.133333333333333,724
5,28.1,30.466666666666665,843,914,28.866666666666667,866
6,32.86666666666667,35.266666666666666,986,1058,33.6,1008
7,36.766666666666666,39.13333333333333,1103,1174,37.53333333333333,1126
8,41.3,43.5,1239,1305,42.0,1260
9,45.7,47.833333333333336,1371,1435,46.46666666666667,1394
10,51.166666666666664,53.6,1535,1608,51.96666666666667,1559
11,57.233333333333334,59.5,1717,1785,57.9,1737
12,62.0,64.46666666666667,1860,1934,62.86666666666667,1886
13,66.66666666666667,68.83333333333333,2000,2065,67.3,2019
14,70.56666666666666,72.8,2117,2184,71.4,2142
15,75.06666666666666,77.4,2252,2322,75.7,2271
16,79.16666666666667,81.3,2375,2439,79.63333333333334,2389
17,83.4,85.73333333333333,2502,2572,84.06666666666666,2522
18,87.66666666666667,90.46666666666667,2630,2714,88.46666666666667,2654
19,91.2,93.76666666666667,2736,2813,92.1,2763
20,98.7,100.8,2961,3024,99.43333333333334,2983
21,104.46666666666667,106.6,3134,3198,105.1,3153
22,108.1,110.3,3243,3309,108.76666666666667,3263
23,111.13333333333334,114.83333333333333,3334,3445,113.26666666666667,3398
24,118.8,121.2,3564,3636,119.76666666666667,3593
25,123.5,125.7,3705,3771,124.06666666666666,3722
26,127.36666666666666,129.86666666666667,3821,3896,128.1,3843
27,131.56666666666666,133.83333333333334,3947,4015,132.36666666666667,3971
28,136.9,139.03333333333333,4107,4171,137.43333333333334,4123
29,142.43333333333334,144.73333333333332,4273,4342,143.13333333333333,4294
30,147.93333333333334,150.1,4438,4503,148.7,4461
31,152.3,154.43333333333334,4569,4633,153.03333333333333,4591
32,155.6,157.8,4668,4734,156.2,4686
33,159.9,161.96666666666667,4797,4859,160.6,4818
34,164.73333333333332,167.46666666666667,4942,5024,165.76666666666668,4973
35,169.73333333333332,171.86666666666667,5092,5156,170.46666666666667,5114
36,174.13333333333333,176.66666666666666,5224,5300,174.9,5247
37,178.56666666666666,180.83333333333334,5357,5425,179.43333333333334,5383
38,182.6,185.3,5478,5559,183.4,5502
39,186.83333333333334,190.73333333333332,5605,5722,187.5,5625
40,192.86666666666667,195.1,5786,5853,193.53333333333333,5806
41,197.63333333333333,201.06666666666666,5929,6032,199.36666666666667,5981
42,203.0,205.73333333333332,6090,6172,203.86666666666667,6116
43,207.86666666666667,210.16666666666666,6236,6305,208.66666666666666,6260
44,211.93333333333334,214.36666666666667,6358,6431,212.76666666666668,6383
45,218.66666666666666,221.16666666666666,6560,6635,219.7,6591
46,223.1,225.7,6693,6771,224.0,6720
47,228.43333333333334,230.96666666666667,6853,6929,229.26666666666668,6878
48,236.9,239.2,7107,7176,237.76666666666668,7133
49,242.23333333333332,244.4,7267,7332,242.96666666666667,7289
50,246.1,248.53333333333333,7383,7456,246.83333333333334,7405
51,251.2,252.0,7536,7560,251.9,7557
