attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,7.26752891643952,9.50112725314341,218,285,7.967611977197456,239
2,15.235140893636977,17.502076518948385,457,525,15.868549377179871,476
3,19.368964680969547,21.569225729065916,581,647,19.9356985872974,598
4,22.536007098684017,25.102978321463116,676,753,23.16941558222691,695
5,28.57005633664527,31.470400445499575,857,944,29.803536015123537,894
6,32.837229278407925,35.00415303789677,985,1050,33.270614030305694,998
7,37.27108866320818,39.471349711304555,1118,1184,38.1045208783962,1143
8,41.838297202438525,43.97188367331985,1255,1319,42.47170568598142,1274
9,45.405387083443244,47.60564813153961,1362,1428,46.1388074328087,1384
10,49.43919900495325,51.706134630264664,1483,1551,50.23929393153375,1507
11,53.13963804038805,55.03986349101673,1594,1651,53.739709235323424,1612
12,57.206787250505585,59.173687278349306,1716,1775,57.80685844544096,1734
13,60.50717882265013,62.274055118848736,1815,1868,61.07391272897799,1832
14,64.90770091884288,67.50800943022949,1947,2025,65.67445855681585,1970
15,70.14165523022363,72.27524170110496,2104,2168,70.84173829098157,2125
16,76.00901802514728,78.14260449602861,2280,2344,76.77577566312026,2303
17,79.87614350361969,82.07640455171605,2396,2462,80.67623843020019,2420
18,83.1098604985492,85.27678425803805,2493,2558,83.87661813652217,2516
19,86.44358935930127,88.44382667575252,2593,2653,86.91031139980656,2607
20,91.4775199390369,93.71111827574079,2744,2811,92.21094028840236,2766
21,95.91137932383715,97.94495392889593,2877,2938,96.54478780738005,2896
22,98.8783980099065,100.9786471921803,2966,3029,99.47846920484187,2984
23,103.24558281749172,105.44584386558809,3097,3163,103.77897943521205,3113
24,108.71289814912512,111.97995243266215,3261,3359,109.8130286731733,3294
25,115.71372875670447,118.91410846302647,3471,3567,116.34713724024736,3490
26,120.71432204783258,123.18128140478912,3621,3695,121.48107968580557,3644
27,126.28164924528855,128.84862046806765,3788,3865,127.08174417186905,3812
28,130.91553236173394,133.24914256426038,3927,3997,131.38225440223923,3941
29,135.81611378703948,138.48309687564114,4074,4154,136.71622057944253,4101
30,140.58334605791495,143.2503291465166,4217,4297,141.41677827310295,4242
31,146.68406987309123,149.58441398194554,4400,4487,147.51750208827926,4425
32,152.0847106275096,154.75169371611125,4562,4642,152.91814284269762,4587
33,156.55190730091738,159.1855531009115,4696,4775,157.48535138192796,4724
34,161.31913957179285,163.85277350596442,4839,4915,162.01922263255076,4860
35,165.71966166798558,168.1532837363346,4971,5044,166.41974472874352,4992
36,171.52034988569417,174.02064653125825,5145,5220,172.28710752366717,5168
37,176.02088384770948,178.4545059160585,5280,5353,176.72096690846743,5301
38,180.5214178097248,182.9550398780738,5415,5488,181.3548500249128,5440
39,184.88860261731,187.32222468565902,5546,5619,185.75537212110555,5572
40,188.62237894135234,190.9893264324863,5658,5729,189.35579929071778,5680
41,192.48950441982473,195.0231383539963,5774,5850,193.4229485008353,5802
42,197.32341126791525,199.6570214704417,5919,5989,198.12350619449575,5943
43,200.85716386031243,202.99075033119377,6025,6089,201.5905842096779,6047
44,204.85763849321492,207.02456225270376,6145,6210,205.42437239954276,6162
45,208.3580537970046,210.7583385767461,6250,6322,209.09147414637005,6272
46,214.52545218939593,216.62570137166975,6435,6498,215.15886067293883,6454
47,218.39257766786835,221.09289804507753,6551,6632,219.39269632609395,6581
48,221.82631839444298,223.9599048653243,6654,6718,222.4930641665934,6674
49,225.36007098684019,227.79369305518918,6760,6833,226.19350320202818,6785
50,228.76047442480728,231.26077107037133,6862,6937,229.22719646531257,6876
51,234.2277897564407,236.56139995896714,7026,7096,234.8611982399836,7045
52,238.06157794630556,242.06205257920806,7141,7261,239.02835931592367,7170
53,243.82892887540666,252.7299849336147,7314,7581,244.79571024502476,7343
