attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,2.3333333333333335,5.566666666666666,70,167,3.066666666666667,92
2,7.9,10.633333333333333,237,319,8.6,258
3,12.7,14.933333333333334,381,448,13.2,396
4,17.733333333333334,20.1,532,603,18.366666666666667,551
5,22.166666666666668,24.433333333333334,665,733,22.833333333333332,685
6,26.033333333333335,28.2,781,846,26.6,798
7,29.866666666666667,32.3,896,969,30.533333333333335,916
8,34.266666666666666,36.86666666666667,1028,1106,35.13333333333333,1054
9,40.6,42.833333333333336,1218,1285,41.46666666666667,1244
10,45.1,47.36666666666667,1353,1421,45.93333333333333,1378
11,48.7,50.9,1461,1527,49.4,1482
12,52.53333333333333,54.7,1576,1641,53.2,1596
13,56.4,58.56666666666667,1692,1757,57.166666666666664,1715
14,60.6,63.0,1818,1890,61.333333333333336,1840
15,65.3,67.4,1959,2022,66.06666666666666,1982
16,69.46666666666667,71.76666666666667,2084,2153,70.36666666666666,2111
17,74.8,77.03333333333333,2244,2311,75.5,2265
18,79.46666666666667,81.86666666666666,2384,2456,80.26666666666667,2408
19,83.56666666666666,86.36666666666666,2507,2591,84.53333333333333,2536
20,89.0,91.53333333333333,2670,2746,89.86666666666666,2696
21,94.06666666666666,96.63333333333334,2822,2899,94.96666666666667,2849
22,99.76666666666667,102.13333333333334,2993,3064,100.56666666666666,3017
23,106.2,109.2,3186,3276,107.16666666666667,3215
24,111.3,113.83333333333333,3339,3415,112.13333333333334,3364
25,117.06666666666666,119.86666666666666,3512,3596,117.86666666666666,3536
26,123.0,125.26666666666667,3690,3758,123.83333333333333,3715
27,128.83333333333334,131.1,3865,3933,129.46666666666667,3884
28,132.46666666666667,134.56666666666666,3974,4037,133.13333333333333,3994
29,137.53333333333333,139.7,4126,4191,138.13333333333333,4144
30,141.3,143.5,4239,4305,141.83333333333334,4255
31,146.46666666666667,148.33333333333334,4394,4450,147.13333333333333,4414
32,150.36666666666667,152.46666666666667,4511,4574,151.13333333333333,4534
33,155.13333333333333,157.06666666666666,4654,4712,155.83333333333334,4675
34,159.56666666666666,161.6,4787,4848,160.33333333333334,4810
35,164.63333333333333,166.56666666666666,4939,4997,165.23333333333332,4957
36,169.06666666666666,171.2,5072,5136,169.76666666666668,5093
37,175.16666666666666,177.1,5255,5313,175.66666666666666,5270
38,179.56666666666666,182.03333333333333,5387,5461,180.33333333333334,5410
39,184.23333333333332,186.26666666666668,5527,5588,184.9,5547
40,189.3,191.36666666666667,5679,5741,189.96666666666667,5699
41,194.96666666666667,197.9,5849,5937,196.2,5886
42,199.33333333333334,201.5,5980,6045,200.13333333333333,6004
43,204.03333333333333,206.43333333333334,6121,6193,204.76666666666668,6143
44,208.13333333333333,210.06666666666666,6244,6302,208.7,6261
45,211.93333333333334,213.8,6358,6414,212.43333333333334,6373
46,216.83333333333334,219.0,6505,6570,217.63333333333333,6529
47,221.03333333333333,223.23333333333332,6631,6697,221.86666666666667,6656
48,225.8,227.73333333333332,6774,6832,226.36666666666667,6791
49,230.96666666666667,232.86666666666667,6929,6986,231.53333333333333,6946
50,237.9,240.66666666666666,7137,7220,238.63333333333333,7159
51,244.8,246.63333333333333,7344,7399,245.3,7359
52,249.6,249.8,7488,7494,249.8,7494
