attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,4.571233333333334,8.141466666666666,137,244,5.638966666666667,169
2,9.843166666666667,12.946266666666666,295,388,10.777433333333333,323
3,14.547866666666668,17.1171,436,513,15.348666666666666,460
4,19.185833333333335,21.654966666666667,575,649,19.986633333333334,599
5,23.9239,26.993633333333335,717,809,24.858166666666666,745
6,29.062366666666666,32.1321,871,963,30.03,900
7,35.20183333333333,38.038000000000004,1055,1140,35.96926666666667,1078
8,41.274566666666665,44.81143333333333,1237,1343,42.4424,1272
9,47.21383333333333,50.350300000000004,1415,1509,47.98126666666667,1438
10,52.619233333333334,55.42203333333333,1577,1661,53.420033333333336,1601
11,57.424033333333334,60.126733333333334,1721,1802,58.29156666666667,1747
12,62.69596666666667,65.03163333333333,1879,1949,63.5635,1905
13,66.5665,68.90216666666667,1995,2065,67.20046666666667,2014
14,73.40666666666667,76.34293333333333,2200,2288,74.30756666666667,2227
15,79.4794,82.34893333333333,2382,2468,80.51376666666667,2413
16,85.65223333333333,88.45503333333333,2567,2651,86.41966666666667,2590
17,90.65723333333334,93.093,2717,2790,91.55813333333333,2744
18,94.62786666666666,96.83006666666667,2836,2902,95.36193333333334,2858
19,98.16473333333333,100.43366666666667,2942,3010,99.13236666666667,2971
20,102.13536666666667,104.23746666666666,3061,3124,102.96953333333333,3086
21,107.47403333333334,109.74296666666667,3221,3289,108.37493333333333,3248
22,113.113,115.3152,3390,3456,113.78033333333333,3410
23,117.6175,119.9198,3525,3594,118.55176666666667,3553
24,121.95516666666667,124.09063333333333,3655,3719,122.8227,3681
25,126.09263333333334,128.66186666666667,3779,3856,126.99353333333333,3806
26,132.2321,134.50103333333334,3963,4031,132.96616666666668,3985
27,136.70323333333334,139.0389,4097,4167,137.4373,4119
28,140.9408,143.30983333333333,4224,4295,141.80833333333334,4250
29,146.57976666666667,149.48266666666666,4393,4480,147.4473,4419
30,150.58376666666666,153.153,4513,4590,151.5514,4542
31,154.38756666666666,156.62313333333333,4627,4694,155.22173333333333,4652
32,159.35920000000002,161.9618,4776,4854,160.2601,4803
33,164.59776666666667,167.167,4933,5010,165.4653,4959
34,169.33583333333334,171.6715,5075,5145,170.30346666666668,5104
35,173.4733,175.74223333333333,5199,5267,174.3742,5226
36,178.0779,180.34683333333334,5337,5405,178.91206666666668,5362
37,182.74923333333334,184.8847,5477,5541,183.51666666666668,5500
38,189.85633333333334,192.2921,5690,5763,190.95743333333334,5723
39,193.56003333333334,196.02916666666667,5801,5875,194.46093333333334,5828
40,197.86433333333335,200.4002,5930,6006,198.83196666666666,5959
41,211.9117,214.48093333333333,6351,6428,212.8126,6378
42,217.7175,220.15326666666667,6525,6598,218.6184,6552
43,222.48893333333334,225.09153333333333,6668,6746,223.38983333333334,6695
44,229.56266666666667,232.46556666666666,6880,6967,230.89733333333334,6920
45,238.9387,242.242,7161,7260,240.37346666666667,7204
