attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,0.0,2.3336540811713404,0,70,0.5667445625701827,17
2,4.667308162342681,7.000962243514022,140,210,5.267390640358169,158
3,9.968036718146154,12.235014968426885,299,367,10.801484604278777,324
4,14.201951979699873,16.335578568199384,426,490,15.002061950387189,450
5,18.70257056481603,21.2362521386592,561,637,19.802721774511088,594
6,22.869809995479137,25.136788245759867,686,754,23.536568304385234,706
7,26.50364277901737,29.27068976097767,795,878,27.503780242376514,825
8,31.470992180367794,33.637956684312606,944,1009,32.57114339006285,977
9,35.671569526476205,37.97188569220224,1070,1139,36.43834158171822,1093
10,40.77227058960785,43.339290078896326,1223,1300,41.8057459684123,1254
11,44.73948252759913,47.17315035510639,1342,1415,45.739619990958275,1372
12,49.40679068994181,51.407065616660105,1482,1542,50.34025232241034,1510
13,52.97394764258943,55.27426380831547,1589,1658,53.940747190503274,1618
14,57.374552481369676,59.774882393431625,1721,1793,58.10798662116638,1743
15,63.942121824094734,66.40912756704729,1918,1992,64.87558345656326,1946
16,67.67596835396887,70.07629826603083,2030,2102,68.44274040921088,2053
17,72.27660068542095,75.54371639906083,2168,2266,73.21006231788948,2196
18,75.91043346895918,78.64414253547417,2277,2359,77.14393634043546,2314
19,81.577879094661,83.77818151405113,2447,2513,82.47800281168423,2474
20,85.87847018710534,88.27880009916728,2576,2648,86.77859390412857,2603
21,93.71288031675198,96.14654814425923,2811,2884,94.5463282028846,2836
22,97.78010600107918,100.41380132125825,2933,3012,98.58021597176649,2957
23,101.58062836184392,103.81426869667935,3047,3114,102.44741416342185,3073
24,107.74814271922533,110.41517595484972,3232,3312,108.68160435169386,3260
25,114.11568456927856,117.01608321302008,3423,3510,114.84911870907526,3445
26,117.1494348748013,119.9164818567616,3514,3597,118.18291025360574,3545
27,122.35014968426886,124.7504795963308,3670,3742,122.91689424683904,3687
28,126.45071328404136,129.05107068877513,3793,3871,127.38417491650989,3821
29,130.61795271470447,133.48501344300067,3918,4004,131.75144183984483,3952
30,135.0852333843753,137.41888746554665,4052,4122,135.88534335506262,4076
31,141.55278898076446,143.98645680827173,4246,4319,142.11953354333463,4263
32,145.01993218707617,147.28691043735688,4350,4418,145.55333883420104,4366
33,148.720440801505,151.08743279812165,4461,4532,149.42053702585642,4482
34,152.987693978504,155.32134805967536,4589,4659,153.68779020285544,4610
35,157.5549883945108,159.85530456023682,4726,4795,158.2217467034169,4746
36,160.78876619270537,162.98906861209548,4823,4889,161.55553824794737,4846
37,165.1893710314856,168.42314882968017,4955,5052,166.75625305741494,5002
38,171.12351998074988,173.65720155459303,5133,5209,172.0236436977731,5160
39,174.95738025695994,177.25769642268597,5248,5317,175.79082814309254,5273
40,179.35798509574016,181.32492210701315,5380,5439,179.95806757375567,5398
41,183.19184537195022,185.19212029866853,5495,5555,184.02529325808285,5520
42,187.7924777034023,190.5261867699173,5633,5715,188.72593933587083,5661
43,191.7263517259483,194.09334372256492,5751,5822,192.72648918930742,5781
44,196.22697031106443,198.49394856134518,5886,5954,196.89372861997055,5906
45,201.69438844409444,204.82815249595308,6050,6144,202.42782258389113,6072
46,205.7282762129763,208.22861987137418,6171,6246,206.49504826821834,6194
47,209.22875733473333,211.29570809234224,6276,6338,209.92885355908473,6297
48,215.863002508349,218.09664284318444,6475,6542,216.5630987327004,6496
49,219.9635661081215,222.6639372591912,6598,6679,220.76367607880883,6622
50,224.0307917924487,226.53113545084656,6720,6795,224.86423967858133,6745
51,228.6980999547914,230.99841612051742,6860,6929,229.36485826369747,6880
52,232.63197397733734,235.19899346662584,6978,7055,233.39874603257937,7001
53,235.89908969097723,238.5994608420469,7076,7157,237.0659167315629,7111
54,240.03299120619502,242.36664528736637,7200,7270,240.93311492321826,7227
55,243.16675525805368,245.46707142377971,7294,7363,244.13355480596752,7323
56,247.03395344970906,249.80100043166937,7410,7493,248.23411840574002,7446
57,250.93448955680972,253.96823986233247,7527,7618,251.83461327383296,7554
