attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,1.1668299083769633,3.333799738219895,35,100,1.7669138612565445,53
2,3.7005177094240835,5.867487539267016,111,176,4.500629646596859,135
3,6.600923481675393,8.334499345549737,198,250,7.3010214267015705,219
4,9.367977264397906,11.368257107329843,281,341,9.934723219895288,298
5,11.701637081151832,13.801930916230367,351,414,12.301721034031413,369
6,15.402154790575915,17.435772630890053,462,523,16.168928730366492,485
7,18.10253257853403,20.302840405759163,543,609,18.76929252617801,563
8,21.30298032722513,23.303260170157067,639,699,21.869726282722514,656
9,27.270481858638743,29.370775693717277,818,881,27.603861832460733,828
10,30.470929607329843,32.304519463350786,914,969,31.071013560209423,932
11,33.43801137434555,35.471629214659686,1003,1064,34.07143332460733,1022
12,36.171727159685865,38.305358992146594,1085,1149,36.60512112565445,1098
13,39.07213293193717,41.07241277486911,1172,1232,39.572202892670155,1187
14,41.70583472513089,43.672776570680625,1251,1310,42.27258068062827,1268
15,44.106170536649216,46.20646437172775,1323,1386,44.706254489528796,1341
16,48.44011019633508,50.60708002617801,1453,1518,49.040194149214656,1471
17,51.140487984293195,53.07409183246073,1534,1592,51.640557945026174,1549
18,53.64083778795811,55.44108964659686,1609,1663,54.1075697513089,1623
19,57.441369489528796,59.40831133507853,1723,1782,58.17480543193717,1745
20,61.208563193717275,63.37553302356021,1836,1901,61.94199913612565,1858
21,65.14244688481675,66.9760367408377,1954,2009,65.54250285340314,1966
22,67.74281068062827,69.6764145287958,2032,2090,68.37623263089004,2051
23,70.87658243455498,72.87686227748691,2126,2186,71.44332839005236,2143
24,74.14370617801046,77.47750591623036,2224,2324,74.64377613874345,2239
25,79.01105379581152,80.74462965968586,2370,2422,79.3777717670157,2381
26,81.77810757853403,83.97841540575916,2453,2519,82.5782195157068,2477
27,84.77852734293194,86.61211719895287,2543,2598,85.37861129581151,2561
28,89.0457910078534,90.91271886125654,2671,2727,89.61253696335078,2688
29,92.77964671465968,94.71325056282723,2783,2841,93.34639267015706,2800
30,97.01357238219894,98.98051422774869,2910,2969,97.48030434554974,2924
31,100.11400613874345,102.1142859816754,3003,3063,100.68075209424083,3020
32,103.34779188481674,105.21471973821988,3100,3156,103.78118585078533,3113
33,106.24819765706806,109.21527942408376,3187,3276,107.748407539267,3232
34,110.81550329842932,112.98247312827225,3324,3389,111.61561523560209,3348
35,113.84926106020941,115.71618891361256,3415,3471,114.31599302356021,3429
36,116.84968082460732,118.61659468586387,3505,3558,117.38308878272251,3521
37,121.41698646596858,123.58395629581152,3642,3707,122.18376040575916,3665
38,125.31753215968585,127.58451598167538,3759,3827,125.98429210732984,3779
39,128.08458594240838,129.88483780104713,3842,3896,128.61799390052354,3858
40,131.48506167539267,133.4520035209424,3944,4003,132.01846963350783,3960
41,135.61897335078532,137.65259119109948,4068,4129,136.3190712958115,4089
42,138.55271712041883,140.252954986911,4156,4207,139.1861390706806,4175
43,142.15322083769632,143.98681069371727,4264,4319,142.7533047905759,4282
44,145.02028861256545,147.25393443717277,4350,4417,145.9204145418848,4377
45,149.3875662696335,151.75456408376962,4481,4552,150.0209882198953,4500
46,153.0880839790576,155.25505380890053,4592,4657,153.72150592931936,4611
47,156.28853172774868,159.2556134947644,4688,4777,157.02196767015707,4710
48,161.8559772905759,163.98960912303664,4855,4919,162.4227232460733,4872
49,165.4564810078534,167.45676085078534,4963,5023,166.08990295811518,4982
50,169.15699871727747,171.4906585340314,5074,5144,169.75708267015708,5092
51,172.1574184816754,174.3243883115183,5164,5229,172.69082643979056,5180
52,175.2578522382199,177.49149806282722,5257,5324,175.95795018324606,5278
53,179.12505993455497,181.2253537696335,5373,5436,179.69180589005234,5390
54,182.22549369109947,184.325787526178,5466,5529,182.75890164921466,5482
55,185.35926544502618,187.32620729057592,5560,5619,185.89267340314134,5576
56,188.25967121727749,190.4599790445026,5647,5713,188.75974117801047,5662
57,192.09354091623035,193.82711678010472,5762,5814,192.49359688481675,5774
58,196.6608465575916,198.82781638743455,5899,5964,197.1275785209424,5913
59,199.19453435863875,201.42818018324607,5975,6042,200.0946602879581,6002
60,202.76170007853403,204.62862793193716,6082,6138,203.22843204188482,6096
61,205.36206387434555,207.39568171465967,6160,6221,205.96214782722512,6178
62,208.22913164921465,210.0627215052356,6246,6301,208.82921560209422,6264
63,211.09619942408375,215.6968430628272,6332,6470,212.36304332460733,6370
64,216.6969829842932,219.03064280104712,6500,6570,217.29706693717276,6518
65,221.73102058900523,223.83131442408376,6651,6714,222.197752552356,6665
66,225.6982422774869,227.89855010471203,6770,6836,226.43167821989528,6792
67,233.66602365183246,235.266247526178,7009,7057,234.13275561518324,7023
68,235.99968346858637,238.6333852617801,7079,7158,236.53309142670156,7095
69,239.43349719895286,243.33404289267014,7182,7299,240.13359514397905,7203
70,243.43405688481675,245.50101272251308,7302,7364,243.76743685863875,7312
