attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,0.0,2.4336776919833065,0,73,0.7000990620773896,21
2,2.867072349459786,4.8340173333914995,86,145,3.5004953103869476,105
3,5.434102243743547,7.634413581701057,163,229,5.90083495179514,177
4,8.167822390902877,9.834724919658568,245,295,8.667893149529585,260
5,10.368133728860387,12.268402611641873,311,368,10.801528386336868,324
6,14.668742253050066,16.602349186406666,440,498,15.335503264552342,460
7,17.035743843883147,18.535956119763267,511,556,17.535814602509852,526
8,19.069364928965086,20.736267457720775,572,622,19.436083485291338,583
9,21.13632406462214,22.63653634050226,634,679,21.536380671523506,646
10,23.169945149704084,24.670157425584204,695,740,23.570001756605446,707
11,27.437215623318647,29.237470354374793,823,877,28.00396248309558,840
12,30.97104898428071,32.971332018787535,929,989,31.637809995782984,949
13,34.07148768776629,35.871742418822436,1022,1076,34.60489649696811,1038
14,36.5051653797496,38.172067908505284,1095,1145,37.07191223952653,1112
15,38.80549086943245,40.33904119588768,1164,1210,39.30556162805916,1179
16,41.53921101659178,43.13943744419724,1246,1294,42.20597202809405,1266
17,44.07290286030043,45.50643903503032,1322,1365,44.47295946720179,1334
18,46.33989029940817,47.773426474138056,1390,1433,46.706608855734416,1401
19,48.540201637365676,50.10709001439602,1456,1503,49.04027239599238,1471
20,51.04055543049921,52.607443807529556,1531,1578,51.540626189125916,1546
21,54.47437463973593,56.20795326964185,1634,1686,55.07445955008798,1652
22,56.84137623056901,58.474940708749585,1705,1754,57.34144698919572,1720
23,61.30867500763426,62.97557753638995,1839,1889,61.84208381683607,1855
24,63.508986345591765,65.2759030260728,1905,1958,64.0757332053687,1922
25,66.07601623987553,67.54289046518053,1982,2026,66.44273479620178,1993
26,68.20965147668281,69.97656815716384,2046,2099,68.6763841847344,2060
27,71.84349898937022,73.81044397330193,2155,2214,72.41024584914715,2172
28,75.54402260320785,77.6109817388649,2266,2328,76.34413581701057,2290
29,78.61112325611832,80.47805408832468,2358,2414,79.24454621704547,2377
30,81.37818145385276,83.04508398260845,2441,2491,81.74490001017901,2452
31,83.6451688929605,85.41208557344153,2509,2562,84.17857770216231,2525
32,86.01217048379357,87.94577741715017,2580,2638,86.44556514127005,2593
33,90.34611705855836,92.21304789076474,2710,2766,90.9128639183353,2727
34,93.5799079643444,95.81355735287703,2807,2874,94.14665482412134,2824
35,96.34696616207884,98.28057309543544,2890,2948,96.78036081955533,2903
36,100.11416587706671,102.14778696214864,3003,3064,100.64757468626853,3019
37,102.71453382192558,104.78149295758263,3081,3143,103.2479426311274,3097
38,105.71495837368582,107.68190335761753,3171,3230,106.38171938518809,3191
39,108.64870682429583,111.38242697145516,3259,3341,109.68218639212436,3290
40,112.14920213468278,116.88320531634893,3364,3506,115.34965498989371,3460
41,118.25006538992861,119.91696791868429,3547,3597,118.88348835085577,3566
42,121.21715189111373,122.95073052101965,3636,3688,121.75056070031556,3652
43,125.35107016242785,127.4180292980849,3760,3822,125.91781702220477,3777
44,128.08479030958716,129.8183689394931,3842,3894,128.68487521993922,3860
45,130.71849630502118,132.38539883377686,3921,3971,131.25190511422298,3937
46,133.08549789585425,134.88575262691037,3992,4046,133.6522447556312,4009
47,137.25275421774347,139.0196708982245,4117,4170,137.68614887521994,4130
48,140.55322122467973,145.98732346842328,4216,4379,144.5871253442685,4337
49,146.88745083395136,149.32112852593465,4406,4479,147.45419769372828,4423
50,154.78856882025332,156.4888093995841,4643,4694,155.28863957888004,4658
51,157.12223236051128,159.02250124329277,4713,4770,157.72231727086333,4731
52,159.92262860882084,161.62286918815164,4797,4848,160.38936131687242,4811
53,162.38964435137927,164.55661763876165,4871,4936,162.85637705943086,4885
54,165.09002644796348,166.95695728016986,4952,5008,165.69011135831553,4970
55,167.59038024109702,169.85736768020476,5027,5095,168.52384565720018,5055
56,170.9575233491835,173.1244966365659,5128,5193,171.59094631011067,5147
57,173.75791959749307,175.72486458142478,5212,5271,174.72472306417137,5241
58,176.09158313775103,178.02519007110763,5282,5340,176.59165389637772,5297
59,178.59193693088457,180.69223411711673,5357,5420,179.09200768951126,5372
60,181.65903758379503,184.0260391746281,5449,5520,182.15910834242175,5464
61,184.75947628728062,186.99312567581325,5542,5609,185.55958950108334,5566
62,188.02660524364177,191.19372004827758,5640,5735,188.79338040686937,5663
63,192.26053766668122,194.1274684988876,5767,5823,192.7272703747328,5781
64,194.9275817126903,196.69449839317136,5847,5900,195.42765247131703,5862
65,197.8279921127252,200.02830345068273,5934,6000,198.5280911748026,5955
66,202.16193868749002,204.12888367142173,6064,6123,202.6286713955416,6078
67,207.59604093123355,212.0633397082988,6227,6361,209.76301421861595,6292
68,213.9969466416554,215.86387747386178,6419,6475,214.53035545085723,6435
69,216.26393408076314,218.0975268623944,6487,6542,216.69732873823963,6500
70,218.69761177274646,220.59788065552794,6560,6617,219.19768253137315,6575
71,221.09795141415464,222.9315441957859,6632,6687,221.59802217278136,6647
72,223.76499546016373,225.33188383719408,6712,6759,224.19839011764023,6725
73,226.73208196134888,228.43232254067968,6801,6852,227.2988288211258,6818
74,229.06574550160684,230.86600023266297,6871,6925,229.56581626023353,6886
75,232.1661842050924,233.69973453154765,6964,7010,232.66625496371913,6979
76,235.09993265570245,236.63348298215766,7052,7098,235.63334146490425,7068
77,239.03382262356587,240.70072515232155,7170,7220,239.46721728104234,7183
78,243.9345160581076,247.0682928121683,7317,7411,244.56793901903475,7336
